Code postal,Localité,Sous-commune,Commune principale,Province
4170,Comblain-Au-Pont,Non,COMBLAIN-AU-PONT,LIEGE
4180,Comblain-Fairon,Oui,HAMOIR,LIEGE
4180,Comblain-La-Tour,Oui,HAMOIR,LIEGE
7780,Comines,Oui,COMINES-WARNETON,HAINAUT
7780,Comines-Warneton,Non,COMINES-WARNETON,HAINAUT
5590,Conneux,Oui,CINEY,NAMUR
1435,Corbais,Oui,MONT-SAINT-GUIBERT,BRABANT WALLON
6838,Corbion,Oui,BOUILLON,LUXEMBOURG
7910,Cordes,Oui,FRASNES-LEZ-ANVAING,HAINAUT
5620,Corenne,Oui,FLORENNES,NAMUR
4860,Cornesse,Oui,PEPINSTER,LIEGE
5555,Cornimont,Oui,BIÈVRE,NAMUR
1935,Corporate Village,,Corporate Village,
5032,Corroy-Le-Château,Oui,GEMBLOUX,NAMUR
1325,Corroy-Le-Grand,Oui,CHAUMONT-GISTOUX,BRABANT WALLON
4257,Corswarem,Oui,BERLOZ,LIEGE
1450,Cortil-Noirmont,Oui,CHASTRE,BRABANT WALLON
5380,Cortil-Wodon,Oui,FERNELMONT,NAMUR
6010,Couillet,Oui,CHARLEROI,HAINAUT
6120,Cour-Sur-Heure,Oui,HAM-SUR-HEURE,HAINAUT
6180,Courcelles,Non,COURCELLES,HAINAUT
5336,Courrière,Oui,ASSESSE,NAMUR
1490,Court-Saint-Etienne,Non,COURT-SAINT-ETIENNE,BRABANT WALLON
4218,Couthuin,Oui,HÉRON,LIEGE
5300,Coutisse,Oui,ANDENNE,NAMUR
1380,Couture-Saint-Germain,Oui,LASNE,BRABANT WALLON
5660,Couvin,Non,COUVIN,NAMUR
4280,Cras-Avernas,Oui,HANNUT,LIEGE
4280,Crehen,Oui,HANNUT,LIEGE
4367,Crisnée,Non,CRISNÉE,LIEGE
7120,Croix-Lez-Rouveroy,Oui,ESTINNES,HAINAUT
4784,Crombach,Oui,SAINT-VITH,LIEGE
5332,Crupet,Oui,ASSESSE,NAMUR
6075,CSM Charleroi X,,CSM Charleroi X,
9075,CSM Gent X,,CSM Gent X,
7033,Cuesmes,Oui,MONS,HAINAUT
6880,Cugnon,Oui,BERTRIX,LUXEMBOURG
5660,Cul-Des-Sarts,Oui,COUVIN,NAMUR
5562,Custinne,Oui,HOUYET,NAMUR
8890,Dadizele,Oui,MOORSLEDE,FLANDRE-OCCIDENTALE
5660,Dailly,Oui,COUVIN,NAMUR
9160,Daknam,Oui,LOKEREN,FLANDRE-ORIENTALE
4607,Dalhem,Non,DALHEM,LIEGE
8340,Damme,Non,DAMME,FLANDRE-OCCIDENTALE
6767,Dampicourt,Oui,ROUVROY,LUXEMBOURG
6020,Dampremy,Oui,CHARLEROI,HAINAUT
7512,DANIEL JOUVANCE,,DANIEL JOUVANCE,
4253,Darion,Oui,GEER,LIEGE
5630,Daussois,Oui,CERFONTAINE,NAMUR
5020,Daussoulx,Oui,NAMUR,NAMUR
5100,Dave,Oui,NAMUR,NAMUR
6929,Daverdisse,Non,DAVERDISSE,LUXEMBOURG
8420,De Haan,Non,DE HAAN,FLANDRE-OCCIDENTALE
9170,De Klinge,Oui,SINT-GILLIS-WAAS,FLANDRE-ORIENTALE
8630,De Moeren,Oui,VEURNE,FLANDRE-OCCIDENTALE
8660,De Panne,Non,DE PANNE,FLANDRE-OCCIDENTALE
9840,De Pinte,Non,DE PINTE,FLANDRE-ORIENTALE
8540,Deerlijk,Non,DEERLIJK,FLANDRE-OCCIDENTALE
9570,Deftinge,Oui,LIERDE,FLANDRE-ORIENTALE
9800,Deinze,Non,DEINZE,FLANDRE-ORIENTALE
9280,Denderbelle,Oui,LEBBEKE,FLANDRE-ORIENTALE
9450,Denderhoutem,Oui,HAALTERT,FLANDRE-ORIENTALE
9470,Denderleeuw,Non,DENDERLEEUW,FLANDRE-ORIENTALE
9200,Dendermonde,Non,DENDERMONDE,FLANDRE-ORIENTALE
9400,Denderwindeke,Oui,NINOVE,FLANDRE-ORIENTALE
5537,Denée,Oui,ANHÉE,NAMUR
8720,Dentergem,Non,DENTERGEM,FLANDRE-OCCIDENTALE
7912,Dergneau,Oui,FRASNES-LEZ-ANVAING,HAINAUT
2480,Dessel,Non,DESSEL,ANVERS
8792,Desselgem,Oui,WAREGEM,FLANDRE-OCCIDENTALE
9070,Destelbergen,Non,DESTELBERGEN,FLANDRE-ORIENTALE
9042,Desteldonk,Oui,GENT,FLANDRE-ORIENTALE
9831,Deurle,Oui,SINT-MARTENS-LATEM,FLANDRE-ORIENTALE
2100,Deurne,Oui,ANTWERPEN,ANVERS
3290,Deurne,Oui,DIEST,BRABANT FLAMAND
7864,Deux-Acren,Oui,LESSINES,HAINAUT
5310,Dhuy,Oui,EGHEZÉE,NAMUR
1831,Diegem,Oui,MACHELEN,BRABANT FLAMAND
3590,Diepenbeek,Non,DIEPENBEEK,LIMBOURG
3290,Diest,Non,DIEST,BRABANT FLAMAND
3700,Diets-Heur,Oui,TONGEREN,LIMBOURG
8900,Dikkebus,Oui,IEPER,FLANDRE-OCCIDENTALE
9630,Dikkele,Oui,ZWALM,FLANDRE-ORIENTALE
9890,Dikkelvenne,Oui,GAVERE,FLANDRE-ORIENTALE
8600,Diksmuide,Non,DIKSMUIDE,FLANDRE-OCCIDENTALE
1700,Dilbeek,Non,DILBEEK,BRABANT FLAMAND
3650,Dilsen,Oui,DILSEN-STOKKEM,LIMBOURG
3650,Dilsen-Stokkem,Non,DILSEN-STOKKEM,LIMBOURG
5500,Dinant,Non,DINANT,NAMUR
5570,Dion,Oui,BEAURAING,NAMUR
1325,Dion-Valmont,Oui,CHAUMONT-GISTOUX,BRABANT WALLON
4820,Dison,Non,DISON,LIEGE
6960,Dochamps,Oui,MANHAY,LUXEMBOURG
9130,Doel,Oui,BEVEREN-WAAS,FLANDRE-ORIENTALE
6836,Dohan,Oui,BOUILLON,LUXEMBOURG
5680,Doische,Non,DOISCHE,NAMUR
4140,Dolembreux,Oui,SPRIMONT,LIEGE
4357,Donceel,Non,DONCEEL,LIEGE
1370,Dongelberg,Oui,JODOIGNE,BRABANT WALLON
3540,Donk,Oui,HERK-DE-STAD,LIMBOURG
6536,Donstiennes,Oui,THUIN,HAINAUT
5530,Dorinne,Oui,YVOIR,NAMUR
3440,Dormaal,Oui,ZOUTLEEUW,BRABANT FLAMAND
7711,Dottignies,Oui,MOUSCRON,HAINAUT
7370,Dour,Non,DOUR,HAINAUT
5670,Dourbes,Oui,VIROINVAL,NAMUR
8951,Dranouter,Oui,HEUVELLAND,FLANDRE-OCCIDENTALE
5500,Dréhance,Oui,DINANT,NAMUR
8600,Driekapellen,Oui,DIKSMUIDE,FLANDRE-OCCIDENTALE
3350,Drieslinter,Oui,LINTER,BRABANT FLAMAND
1620,Drogenbos,Non,DROGENBOS,BRABANT FLAMAND
9031,Drongen,Oui,GENT,FLANDRE-ORIENTALE
8380,Dudzele,Oui,BRUGGE,FLANDRE-OCCIDENTALE
2570,Duffel,Non,DUFFEL,ANVERS
3080,Duisburg,Oui,TERVUREN,BRABANT FLAMAND
3803,Duras,Oui,SINT-TRUIDEN,LIMBOURG
6940,Durbuy,Non,DURBUY,LUXEMBOURG
5530,Durnal,Oui,YVOIR,NAMUR
1653,Dworp,Oui,BEERSEL,BRABANT FLAMAND
4690,Eben-Emael,Oui,BASSENGE,LIEGE
6860,Ebly,Oui,LÉGLISE,LUXEMBOURG
7190,Ecaussinnes-D'Enghien,Oui,ECAUSSINNES,HAINAUT
7191,Ecaussinnes-Lalaing,Oui,ECAUSSINNES,HAINAUT
2650,Edegem,Non,EDEGEM,ANVERS
9700,Edelare,Oui,OUDENAARDE,FLANDRE-ORIENTALE
9900,Eeklo,Non,EEKLO,FLANDRE-ORIENTALE
8480,Eernegem,Oui,ICHTEGEM,FLANDRE-OCCIDENTALE
8740,Egem,Oui,PITTEM,FLANDRE-OCCIDENTALE
8630,Eggewaartskapelle,Oui,VEURNE,FLANDRE-OCCIDENTALE
5310,Eghezée,Non,EGHEZÉE,NAMUR
4120,Ehein,Oui,NEUPRÉ,LIEGE
4480,Ehein,Oui,ENGIS,LIEGE
3740,Eigenbilzen,Oui,BILZEN,LIMBOURG
2430,Eindhout,Oui,LAAKDAL,ANVERS
9700,Eine,Oui,OUDENAARDE,FLANDRE-ORIENTALE
3630,Eisden,Oui,MAASMECHELEN,LIMBOURG
9810,Eke,Oui,NAZARETH,FLANDRE-ORIENTALE
2180,Ekeren,Oui,ANTWERPEN,ANVERS
9160,Eksaarde,Oui,LOKEREN,FLANDRE-ORIENTALE
3941,Eksel,Oui,HECHTEL-EKSEL,LIMBOURG
3650,Elen,Oui,DILSEN-STOKKEM,LIMBOURG
9620,Elene,Oui,ZOTTEGEM,FLANDRE-ORIENTALE
1982,Elewijt,Oui,ZEMST,BRABANT FLAMAND
3400,Eliksem,Oui,LANDEN,BRABANT FLAMAND
1671,Elingen,Oui,PEPINGEN,BRABANT FLAMAND
4590,Ellemelle,Oui,OUFFET,LIEGE
7890,Ellezelles,Non,ELLEZELLES,HAINAUT
7910,Ellignies-Lez-Frasnes,Oui,FRASNES-LEZ-ANVAING,HAINAUT
7972,Ellignies-Sainte-Anne,Oui,BELOEIL,HAINAUT
3670,Ellikom,Oui,OUDSBERGEN,LIMBOURG
7370,Elouges,Oui,DOUR,HAINAUT
9790,Elsegem,Oui,WORTEGEM-PETEGEM,FLANDRE-ORIENTALE
4750,Elsenborn,Oui,BUTGENBACH,LIEGE
9660,Elst,Oui,BRAKEL,FLANDRE-ORIENTALE
8906,Elverdinge,Oui,IEPER,FLANDRE-OCCIDENTALE
9140,Elversele,Oui,TEMSE,FLANDRE-ORIENTALE
2520,Emblem,Oui,RANST,ANVERS
4053,Embourg,Oui,CHAUDFONTAINE,LIEGE
8870,Emelgem,Oui,IZEGEM,FLANDRE-OCCIDENTALE
5080,Emines,Oui,LA BRUYÈRE,NAMUR
5363,Emptinne,Oui,HAMOIS,NAMUR
9700,Ename,Oui,OUDENAARDE,FLANDRE-ORIENTALE
3800,Engelmanshoven,Oui,SINT-TRUIDEN,LIMBOURG
7850,Enghien,Non,ENGHIEN,HAINAUT
4480,Engis,Non,ENGIS,LIEGE
1350,Enines,Oui,ORP-JAUCHE,BRABANT WALLON
4800,Ensival,Oui,VERVIERS,LIEGE
7134,Epinois,Oui,BINCHE,HAINAUT
1980,Eppegem,Oui,ZEMST,BRABANT FLAMAND
5580,Eprave,Oui,ROCHEFORT,NAMUR
7050,Erbaut,Oui,JURBISE,HAINAUT
7050,Erbisoeul,Oui,JURBISE,HAINAUT
7500,Ere,Oui,TOURNAI,HAINAUT
9320,Erembodegem,Oui,AALST,FLANDRE-ORIENTALE
6997,Erezée,Non,EREZÉE,LUXEMBOURG
5644,Ermeton-Sur-Biert,Oui,METTET,NAMUR
5030,Ernage,Oui,GEMBLOUX,NAMUR
6972,Erneuville,Oui,TENNEVILLE,LUXEMBOURG
4920,Ernonheid,Oui,AYWAILLE,LIEGE
9420,Erondegem,Oui,ERPE-MERE,FLANDRE-ORIENTALE
9420,Erpe,Oui,ERPE-MERE,FLANDRE-ORIENTALE
5101,Erpent,Oui,NAMUR,NAMUR
6441,Erpion,Oui,FROIDCHAPELLE,HAINAUT
3071,Erps-Kwerps,Oui,KORTENBERG,BRABANT FLAMAND
6560,Erquelinnes,Non,ERQUELINNES,HAINAUT
7387,Erquennes,Oui,HONNELLES,HAINAUT
9940,Ertvelde,Oui,EVERGEM,FLANDRE-ORIENTALE
9620,Erwetegem,Oui,ZOTTEGEM,FLANDRE-ORIENTALE
7760,Escanaffles,Oui,CELLES,HAINAUT
8600,Esen,Oui,DIKSMUIDE,FLANDRE-OCCIDENTALE
4130,Esneux,Non,ESNEUX,LIEGE
8587,Espierres,Oui,ESPIERRES-HELCHIN,FLANDRE-OCCIDENTALE
7502,Esplechin,Oui,TOURNAI,HAINAUT
7743,Esquelmes,Oui,PECQ,HAINAUT
2910,Essen,Non,ESSEN,ANVERS
1790,Essene,Oui,AFFLIGEM,BRABANT FLAMAND
7730,Estaimbourg,Oui,ESTAIMPUIS,HAINAUT
7730,Estaimpuis,Non,ESTAIMPUIS,HAINAUT
7120,Estinnes-Au-Mont,Oui,ESTINNES,HAINAUT
7120,Estinnes-Au-Val,Oui,ESTINNES,HAINAUT
6740,Etalle,Non,ETALLE,LUXEMBOURG
6760,Ethe,Oui,VIRTON,LUXEMBOURG
9680,Etikhove,Oui,MAARKEDAL,FLANDRE-ORIENTALE
8460,Ettelgem,Oui,OUDENBURG,FLANDRE-OCCIDENTALE
1040,Etterbeek,Non,ETTERBEEK,BRUXELLES
7080,Eugies,Oui,FRAMERIES,HAINAUT
4700,Eupen,Non,EUPEN,LIEGE
1046,European External Action Service,,European External Action Service,
4631,Evegnée,Oui,SOUMAGNE,LIEGE
5350,Evelette,Oui,OHEY,NAMUR
9660,Everbeek,Oui,BRAKEL,FLANDRE-ORIENTALE
3078,Everberg,Oui,KORTENBERG,BRABANT FLAMAND
1140,Evere,Non,EVERE,BRUXELLES
9940,Evergem,Non,EVERGEM,FLANDRE-ORIENTALE
7730,Evregnies,Oui,ESTAIMPUIS,HAINAUT
5530,Evrehailles,Oui,YVOIR,NAMUR
4731,Eynatten,Oui,RAEREN,LIEGE
3400,Ezemaal,Oui,LANDEN,BRABANT FLAMAND
5600,Fagnolle,Oui,PHILIPPEVILLE,NAMUR
4317,Faimes,Non,FAIMES,LIEGE
5522,Falaën,Oui,ONHAYE,NAMUR
5060,Falisolle,Oui,SAMBREVILLE,NAMUR
4260,Fallais,Oui,BRAIVES,LIEGE
5500,Falmagne,Oui,DINANT,NAMUR
5500,Falmignoul,Oui,DINANT,NAMUR
7181,Familleureux,Oui,SENEFFE,HAINAUT
6240,Farciennes,Non,FARCIENNES,HAINAUT
5340,Faulx-Les-Tombes,Oui,GESVES,NAMUR
7120,Fauroeulx,Oui,ESTINNES,HAINAUT
6637,Fauvillers,Non,FAUVILLERS,LUXEMBOURG
4950,Faymonville,Oui,WAIMES,LIEGE
6856,Fays-Les-Veneurs,Oui,PALISEUL,LUXEMBOURG
7387,Fayt-Le-Franc,Oui,HONNELLES,HAINAUT
7170,Fayt-Lez-Manage,Oui,MANAGE,HAINAUT
5570,Felenne,Oui,BEAURAING,NAMUR
7181,Feluy,Oui,SENEFFE,HAINAUT
4607,Feneur,Oui,DALHEM,LIEGE
4190,Ferrières,Non,FERRIÈRES,LIEGE
5570,Feschaux,Oui,BEAURAING,NAMUR
4347,Fexhe-Le-Haut-Clocher,Non,FEXHE-LE-HAUT-CLOCHER,LIEGE
4458,Fexhe-Slins,Oui,JUPRELLE,LIEGE
4181,Filot,Oui,HAMOIR,LIEGE
5560,Finnevaux,Oui,HOUYET,NAMUR
4530,Fize-Fontaine,Oui,VILLERS-LE-BOUILLET,LIEGE
4367,Fize-Le-Marsal,Oui,CRISNÉE,LIEGE
6686,Flamierge,Oui,BERTOGNE,LUXEMBOURG
5620,Flavion,Oui,FLORENNES,NAMUR
5020,Flawinne,Oui,NAMUR,NAMUR
4400,Flémalle-Grande,Oui,FLÉMALLE,LIEGE
4400,Flémalle-Haute,Oui,FLÉMALLE,LIEGE
7012,Flénu,Oui,MONS,HAINAUT
4620,Fléron,Non,FLÉRON,LIEGE
6220,Fleurus,Non,FLEURUS,HAINAUT
7880,Flobecq,Non,FLOBECQ,HAINAUT
4540,Flône,Oui,AMAY,LIEGE
5334,Florée,Oui,ASSESSE,NAMUR
5150,Floreffe,Non,FLOREFFE,NAMUR
5620,Florennes,Non,FLORENNES,NAMUR
6820,Florenville,Non,FLORENVILLE,LUXEMBOURG
5150,Floriffoux,Oui,FLOREFFE,NAMUR
5370,Flostoy,Oui,HAVELANGE,NAMUR
5572,Focant,Oui,BEAURAING,NAMUR
1350,Folx-Les-Caves,Oui,ORP-JAUCHE,BRABANT WALLON
6140,Fontaine-L'Evêque,Non,FONTAINE-L'EVÊQUE,HAINAUT
6567,Fontaine-Valmont,Oui,MERBES-LE-CHÂTEAU,HAINAUT
5650,Fontenelle,Oui,WALCOURT,NAMUR
6820,Fontenoille,Oui,FLORENVILLE,LUXEMBOURG
7643,Fontenoy,Oui,ANTOING,HAINAUT
4340,Fooz,Oui,AWANS,LIEGE
6141,Forchies-La-Marche,Oui,FONTAINE-L'EVÊQUE,HAINAUT
1190,Forest,Non,FOREST,BRUXELLES
7910,Forest,Oui,FRASNES-LEZ-ANVAING,HAINAUT
4870,Forêt,Oui,TROOZ,LIEGE
6596,Forge-Philippe,Oui,MOMIGNIES,HAINAUT
6464,Forges,Oui,CHIMAY,HAINAUT
6953,Forrières,Oui,NASSOGNE,LUXEMBOURG
5380,Forville,Oui,FERNELMONT,NAMUR
4980,Fosse,Oui,TROIS-PONTS,LIEGE
5070,Fosses-La-Ville,Non,FOSSES-LA-VILLE,NAMUR
7830,Fouleng,Oui,SILLY,HAINAUT
6440,Fourbechies,Oui,FROIDCHAPELLE,HAINAUT
3798,Fouron-Le-Comte,Oui,FOURONS,LIMBOURG
3790,Fouron-Saint-Martin,Oui,FOURONS,LIMBOURG
3792,Fouron-Saint-Pierre,Oui,FOURONS,LIMBOURG
5504,Foy-Notre-Dame,Oui,DINANT,NAMUR
4870,Fraipont,Oui,TROOZ,LIEGE
5650,Fraire,Oui,WALCOURT,NAMUR
4557,Fraiture,Oui,TINLOT,LIEGE
7080,Frameries,Non,FRAMERIES,HAINAUT
6853,Framont,Oui,PALISEUL,LUXEMBOURG
5380,Franc-Waret,Oui,FERNELMONT,NAMUR
5600,Franchimont,Oui,PHILIPPEVILLE,NAMUR
4970,Francorchamps,Oui,STAVELOT,LIEGE
5150,Franière,Oui,FLOREFFE,NAMUR
5660,Frasnes,Oui,COUVIN,NAMUR
7911,Frasnes-Lez-Buissenal,Oui,FRASNES-LEZ-ANVAING,HAINAUT
6210,Frasnes-Lez-Gosselies,Oui,LES BONS VILLERS,HAINAUT
4347,Freloux,Oui,FEXHE-LE-HAUT-CLOCHER,LIEGE
6800,Freux,Oui,LIBRAMONT-CHEVIGNY,LUXEMBOURG
6440,Froidchapelle,Non,FROIDCHAPELLE,HAINAUT
5576,Froidfontaine,Oui,BEAURAING,NAMUR
7504,Froidmont,Oui,TOURNAI,HAINAUT
6990,Fronville,Oui,HOTTON,LUXEMBOURG
7503,Froyennes,Oui,TOURNAI,HAINAUT
4260,Fumal,Oui,BRAIVES,LIEGE
5500,Furfooz,Oui,DINANT,NAMUR
5641,Furnaux,Oui,METTET,NAMUR
1750,Gaasbeek,Oui,LENNIK,BRABANT FLAMAND
7943,Gages,Oui,BRUGELETTE,HAINAUT
7906,Gallaix,Oui,LEUZE-EN-HAINAUT,HAINAUT
1570,Galmaarden,Non,GALMAARDEN,BRABANT FLAMAND
1083,Ganshoren,Non,GANSHOREN,BRUXELLES
7530,Gaurain-Ramecroix,Oui,TOURNAI,HAINAUT
9890,Gavere,Non,GAVERE,FLANDRE-ORIENTALE
5575,Gedinne,Non,GEDINNE,NAMUR
2440,Geel,Non,GEEL,ANVERS
4250,Geer,Non,GEER,LIEGE
1367,Geest-Gérompont-Petit-Rosière,Oui,RAMILLIES,BRABANT WALLON
3450,Geetbets,Non,GEETBETS,BRABANT FLAMAND
5024,Gelbressée,Oui,NAMUR,NAMUR
3800,Gelinden,Oui,SINT-TRUIDEN,LIMBOURG
3620,Gellik,Oui,LANAKEN,LIMBOURG
3200,Gelrode,Oui,AARSCHOT,BRABANT FLAMAND
8980,Geluveld,Oui,ZONNEBEKE,FLANDRE-OCCIDENTALE
8940,Geluwe,Oui,WERVIK,FLANDRE-OCCIDENTALE
6929,Gembes,Oui,DAVERDISSE,LUXEMBOURG
5030,Gembloux,Non,GEMBLOUX,NAMUR
4851,Gemmenich,Oui,PLOMBIÈRES,LIEGE
1470,Genappe,Non,GENAPPE,BRABANT WALLON
3600,Genk,Non,GENK,LIMBOURG
7040,Genly,Oui,QUÉVY,HAINAUT
3770,Genoelselderen,Oui,RIEMST,LIMBOURG
9000,Gent,Non,GENT,FLANDRE-ORIENTALE
9099,Gent X,,Gent X,
9050,Gentbrugge,Oui,GENT,FLANDRE-ORIENTALE
1450,Gentinnes,Oui,CHASTRE,BRABANT WALLON
1332,Genval,Oui,RIXENSART,BRABANT WALLON
9500,Geraardsbergen,Non,GERAARDSBERGEN,FLANDRE-ORIENTALE
3960,Gerdingen,Oui,BREE,LIMBOURG
5524,Gérin,Oui,ONHAYE,NAMUR
1367,Gérompont,Oui,RAMILLIES,BRABANT WALLON
6769,Gérouville,Oui,MEIX-DEVANT-VIRTON,LUXEMBOURG
6280,Gerpinnes,Non,GERPINNES,HAINAUT
2590,Gestel,Oui,BERLAAR,ANVERS
5340,Gesves,Non,GESVES,NAMUR
7822,Ghislenghien,Oui,ATH,HAINAUT
7011,Ghlin,Oui,MONS,HAINAUT
7863,Ghoy,Oui,LESSINES,HAINAUT
7823,Gibecq,Oui,ATH,HAINAUT
2275,Gierle,Oui,LILLE,ANVERS
8691,Gijverinkhove,Oui,ALVERINGEM,FLANDRE-OCCIDENTALE
9308,Gijzegem,Oui,AALST,FLANDRE-ORIENTALE
8570,Gijzelbrechtegem,Oui,ANZEGEM,FLANDRE-OCCIDENTALE
9860,Gijzenzele,Oui,OOSTERZELE,FLANDRE-ORIENTALE
6060,Gilly,Oui,CHARLEROI,HAINAUT
5680,Gimnée,Oui,DOISCHE,NAMUR
3890,Gingelom,Non,GINGELOM,LIMBOURG
8470,Gistel,Non,GISTEL,FLANDRE-OCCIDENTALE
8830,Gits,Oui,HOOGLEDE,FLANDRE-OCCIDENTALE
7041,Givry,Oui,QUÉVY,HAINAUT
1473,Glabais,Oui,GENAPPE,BRABANT WALLON
3380,Glabbeek,Non,GLABBEEK,BRABANT FLAMAND
4000,Glain,Oui,LIÈGE,LIEGE
4400,Gleixhe,Oui,FLÉMALLE,LIEGE
1315,Glimes,Oui,INCOURT,BRABANT WALLON
4690,Glons,Oui,BASSENGE,LIEGE
5680,Gochenée,Oui,DOISCHE,NAMUR
7160,Godarville,Oui,CHAPELLE-LEZ-HERLAIMONT,HAINAUT
5530,Godinne,Oui,YVOIR,NAMUR
9620,Godveerdegem,Oui,ZOTTEGEM,FLANDRE-ORIENTALE
4834,Goé,Oui,LIMBOURG,LIEGE
9500,Goeferdinge,Oui,GERAARDSBERGEN,FLANDRE-ORIENTALE
7040,Goegnies-Chaussée,Oui,QUÉVY,HAINAUT
5353,Goesnes,Oui,OHEY,NAMUR
3300,Goetsenhoven,Oui,TIENEN,BRABANT FLAMAND
4140,Gomzé-Andoumont,Oui,SPRIMONT,LIEGE
7830,Gondregnies,Oui,SILLY,HAINAUT
5660,Gonrieux,Oui,COUVIN,NAMUR
9090,Gontrode,Oui,MELLE,FLANDRE-ORIENTALE
1755,Gooik,Non,GOOIK,BRABANT FLAMAND
3840,Gors-Opleeuw,Oui,BORGLOON,LIMBOURG
3803,Gorsem,Oui,SINT-TRUIDEN,LIMBOURG
6041,Gosselies,Oui,CHARLEROI,HAINAUT
3840,Gotem,Oui,BORGLOON,LIMBOURG
9800,Gottem,Oui,DEINZE,FLANDRE-ORIENTALE
7070,Gottignies,Oui,LE ROEULX,HAINAUT
6280,Gougnies,Oui,GERPINNES,HAINAUT
5651,Gourdinne,Oui,WALCOURT,NAMUR
6030,Goutroux,Oui,CHARLEROI,HAINAUT
6670,Gouvy,Non,GOUVY,LUXEMBOURG
6181,Gouy-Lez-Piéton,Oui,COURCELLES,HAINAUT
6534,Gozée,Oui,THUIN,HAINAUT
4460,Grâce-Berleur,Oui,GRÂCE-HOLLOGNE,LIEGE
4460,Grâce-Hollogne,Non,GRÂCE-HOLLOGNE,LIEGE
5555,Graide,Oui,BIÈVRE,NAMUR
9800,Grammene,Oui,DEINZE,FLANDRE-ORIENTALE
4300,Grand-Axhe,Oui,WAREMME,LIEGE
4280,Grand-Hallet,Oui,HANNUT,LIEGE
6698,Grand-Halleux,Oui,VIELSALM,LUXEMBOURG
5031,Grand-Leez,Oui,GEMBLOUX,NAMUR
5030,Grand-Manil,Oui,GEMBLOUX,NAMUR
4650,Grand-Rechain,Oui,HERVE,LIEGE
6560,Grand-Reng,Oui,ERQUELINNES,HAINAUT
1367,Grand-Rosière-Hottomont,Oui,RAMILLIES,BRABANT WALLON
7973,Grandglise,Oui,BELOEIL,HAINAUT
6940,Grandhan,Oui,DURBUY,LUXEMBOURG
6960,Grandménil,Oui,MANHAY,LUXEMBOURG
7900,Grandmetz,Oui,LEUZE-EN-HAINAUT,HAINAUT
6470,Grandrieu,Oui,SIVRY-RANCE,HAINAUT
4360,Grandville,Oui,OREYE,LIEGE
6840,Grandvoir,Oui,NEUFCHÂTEAU,LUXEMBOURG
6840,Grapfontaine,Oui,NEUFCHÂTEAU,LUXEMBOURG
7830,Graty,Oui,SILLY,HAINAUT
5640,Graux,Oui,METTET,NAMUR
3450,Grazen,Oui,GEETBETS,BRABANT FLAMAND
9200,Grembergen,Oui,DENDERMONDE,FLANDRE-ORIENTALE
1390,Grez-Doiceau,Non,GREZ-DOICEAU,BRABANT WALLON
1850,Grimbergen,Non,GRIMBERGEN,BRABANT FLAMAND
9506,Grimminge,Oui,GERAARDSBERGEN,FLANDRE-ORIENTALE
4030,Grivegnée,Oui,LIÈGE,LIEGE
2280,Grobbendonk,Non,GROBBENDONK,ANVERS
1702,Groot-Bijgaarden,Oui,DILBEEK,BRABANT FLAMAND
3800,Groot-Gelmen,Oui,SINT-TRUIDEN,LIMBOURG
3840,Groot-Loon,Oui,BORGLOON,LIMBOURG
5555,Gros-Fays,Oui,BIÈVRE,NAMUR
7950,Grosage,Oui,CHIÈVRES,HAINAUT
3990,Grote-Brogel,Oui,PEER,LIMBOURG
3740,Grote-Spouwen,Oui,BILZEN,LIMBOURG
9620,Grotenberge,Oui,ZOTTEGEM,FLANDRE-ORIENTALE
3670,Gruitrode,Oui,OUDSBERGEN,LIMBOURG
6952,Grune,Oui,NASSOGNE,LUXEMBOURG
6927,Grupont,Oui,TELLIN,LUXEMBOURG
7620,Guignies,Oui,BRUNEHAUT,HAINAUT
3723,Guigoven,Oui,KORTESSEM,LIMBOURG
6704,Guirsch,Oui,ARLON,LUXEMBOURG
8560,Gullegem,Oui,WEVELGEM,FLANDRE-OCCIDENTALE
3870,Gutshoven,Oui,HEERS,LIMBOURG
3150,Haacht,Non,HAACHT,BRABANT FLAMAND
9450,Haaltert,Non,HAALTERT,FLANDRE-ORIENTALE
9120,Haasdonk,Oui,BEVEREN-WAAS,FLANDRE-ORIENTALE
3053,Haasrode,Oui,OUD-HEVERLEE,BRABANT FLAMAND
6720,Habay-La-Neuve,Oui,HABAY,LUXEMBOURG
6723,Habay-La-Vieille,Oui,HABAY,LUXEMBOURG
6782,Habergy,Oui,MESSANCY,LUXEMBOURG
4684,Haccourt,Oui,OUPEYE,LIEGE
6720,Hachy,Oui,HABAY,LUXEMBOURG
7911,Hacquegnies,Oui,FRASNES-LEZ-ANVAING,HAINAUT
5351,Haillot,Oui,OHEY,NAMUR
7100,Haine-Saint-Paul,Oui,LA LOUVIÈRE,HAINAUT
7100,Haine-Saint-Pierre,Oui,LA LOUVIÈRE,HAINAUT
7350,Hainin,Oui,HENSIES,HAINAUT
3300,Hakendover,Oui,TIENEN,BRABANT FLAMAND
6792,Halanzy,Oui,AUBANGE,LUXEMBOURG
3545,Halen,Non,HALEN,LIMBOURG
2220,Hallaar,Oui,HEIST-OP-DEN-BERG,ANVERS
1500,Halle,Non,HALLE,BRABANT FLAMAND
2980,Halle,Oui,ZOERSEL,ANVERS
3440,Halle-Booienhoven,Oui,ZOUTLEEUW,BRABANT FLAMAND
